MGI Gene ID	Gene Symbol	Theiler Stage	Structure Name	MGI anatomy ID	UBERON ID	EMAPA ID	MA ID	MGI Assay ID	MGI Ref ID	PubMed ID
MGI:103201	Aqp1	23	humerus	4860887	0000976	18468		MGI:4823201	J:153498	21267068
MGI:103201	Aqp1	23	humerus	4860887	0000976	18468		MGI:4823201	J:153498	21267068
MGI:103201	Aqp1	23	humerus	4860887	0000976	18468		MGI:4823201	J:153498	21267068
MGI:103201	Aqp1	23	humerus	4860887	0000976	18468		MGI:4823201	J:153498	21267068
MGI:103201	Aqp1	23	humerus	4860887	0000976	18468		MGI:4823201	J:153498	21267068
MGI:1916903	Arhgap27	23	humerus	4860887	0000976	18468		MGI:4823223	J:153498	21267068
MGI:1916903	Arhgap27	23	humerus	4860887	0000976	18468		MGI:4823223	J:153498	21267068
MGI:1916903	Arhgap27	23	humerus	4860887	0000976	18468		MGI:4823223	J:153498	21267068
MGI:1916903	Arhgap27	23	humerus	4860887	0000976	18468		MGI:4823223	J:153498	21267068
MGI:1916903	Arhgap27	23	humerus	4860887	0000976	18468		MGI:4823223	J:153498	21267068
MGI:1916903	Arhgap27	23	humerus	4860887	0000976	18468		MGI:4823223	J:153498	21267068
MGI:88075	Arsb	23	humerus	4860887	0000976	18468		MGI:4823260	J:153498	21267068
MGI:88075	Arsb	23	humerus	4860887	0000976	18468		MGI:4823260	J:153498	21267068
MGI:88075	Arsb	23	humerus	4860887	0000976	18468		MGI:4823260	J:153498	21267068
MGI:88075	Arsb	23	humerus	4860887	0000976	18468		MGI:4823260	J:153498	21267068
MGI:109384	Atf3	23	humerus	4860887	0000976	18468		MGI:4823291	J:153498	21267068
MGI:109384	Atf3	23	humerus	4860887	0000976	18468		MGI:4823291	J:153498	21267068
MGI:109384	Atf3	23	humerus	4860887	0000976	18468		MGI:4823291	J:153498	21267068
MGI:109384	Atf3	23	humerus	4860887	0000976	18468		MGI:4823291	J:153498	21267068
MGI:104855	Atp6v0a2	23	humerus	4860887	0000976	18468		MGI:4823318	J:153498	21267068
MGI:104855	Atp6v0a2	23	humerus	4860887	0000976	18468		MGI:4823318	J:153498	21267068
MGI:104855	Atp6v0a2	23	humerus	4860887	0000976	18468		MGI:4823318	J:153498	21267068
MGI:104855	Atp6v0a2	23	humerus	4860887	0000976	18468		MGI:4823318	J:153498	21267068
MGI:104855	Atp6v0a2	23	humerus	4860887	0000976	18468		MGI:4823318	J:153498	21267068
MGI:104855	Atp6v0a2	23	humerus	4860887	0000976	18468		MGI:4823318	J:153498	21267068
MGI:104855	Atp6v0a2	23	humerus	4860887	0000976	18468		MGI:4823318	J:153498	21267068
MGI:104855	Atp6v0a2	23	humerus	4860887	0000976	18468		MGI:4823318	J:153498	21267068
MGI:3040676	BC039771	23	humerus	4860887	0000976	18468		MGI:4823427	J:153498	21267068
MGI:3040676	BC039771	23	humerus	4860887	0000976	18468		MGI:4823427	J:153498	21267068
MGI:3040676	BC039771	23	humerus	4860887	0000976	18468		MGI:4823427	J:153498	21267068
MGI:3040676	BC039771	23	humerus	4860887	0000976	18468		MGI:4823427	J:153498	21267068
MGI:2681843	BC049730	23	humerus	4860887	0000976	18468		MGI:4823428	J:153498	21267068
MGI:2681843	BC049730	23	humerus	4860887	0000976	18468		MGI:4823428	J:153498	21267068
MGI:2681843	BC049730	23	humerus	4860887	0000976	18468		MGI:4823428	J:153498	21267068
MGI:2681843	BC049730	23	humerus	4860887	0000976	18468		MGI:4823428	J:153498	21267068
MGI:2681843	BC049730	23	humerus	4860887	0000976	18468		MGI:4823428	J:153498	21267068
MGI:2681843	BC049730	23	humerus	4860887	0000976	18468		MGI:4823428	J:153498	21267068
MGI:1933114	Bcl9l	23	humerus	4860887	0000976	18468		MGI:4823454	J:153498	21267068
MGI:1933114	Bcl9l	23	humerus	4860887	0000976	18468		MGI:4823454	J:153498	21267068
MGI:1933114	Bcl9l	23	humerus	4860887	0000976	18468		MGI:4823454	J:153498	21267068
MGI:1933114	Bcl9l	23	humerus	4860887	0000976	18468		MGI:4823454	J:153498	21267068
MGI:1933114	Bcl9l	23	humerus	4860887	0000976	18468		MGI:4823454	J:153498	21267068
