Allele ID(s)	MGI Marker Accession ID	PubMed ID	Mammalian Phenotype ID	MP term name	Entity 1	Quality 1	Quality 2	Entity 2
MGI:3578417	MGI:1328313	16371353	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:2387760	MGI:1329040	11702953	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:1861713	MGI:1330810	10227293	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:1934580	MGI:1330810	10227293	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:2385474	MGI:1330810	11857801	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:3795257	MGI:1330810	18326838	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:2386879	MGI:1338010	10655551	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:3608995	MGI:1338068	16219676	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:3054923	MGI:1344337	12808456	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:4830337|MGI:5428466	MGI:1855698		MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:3522096	MGI:1859211	17041601	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
